Player ID,Name,Role,Team Name
1,Babar Azam,Batsman,Karachi Kings
2,Shaheen Afridi,Bowler,Lahore Qalandars
3,Shadab Khan,All-Rounder,Islamabad United
4,Wahab Riaz,Bowler,Peshawar Zalmi
5,Sarfaraz Ahmed,Wicketkeeper,Quetta Gladiators
6,Mohammad Rizwan,Wicketkeeper,Multan Sultans
7,Imad Wasim,All-Rounder,Karachi Kings
8,Fakhar Zaman,Batsman,Lahore Qalandars
9,Asif Ali,Batsman,Islamabad United
10,Haris Rauf,Bowler,Peshawar Zalmi
11,Hassan Ali,Bowler,Quetta Gladiators
12,Faheem Ashraf,All-Rounder,Multan Sultans
13,Mohammad Hafeez,All-Rounder,Karachi Kings
14,Shoaib Malik,All-Rounder,Lahore Qalandars
15,Ahmed Shehzad,Batsman,Islamabad United
16,Umar Akmal,Batsman,Peshawar Zalmi
17,Shan Masood,Batsman,Quetta Gladiators
18,Kamran Akmal,Wicketkeeper,Multan Sultans
19,Yasir Shah,Bowler,Karachi Kings
20,Junaid Khan,Bowler,Lahore Qalandars
